Service ID,Funder Full Name,Funder Acronym,Funder Country,Funder Continent,Funding Committed (EUR),Date Committed,Year 1 Paid (EUR),Year 1 Date,Year 2 Paid (EUR),Year 2 Date,Year 3 Paid (EUR),Year 3 Date,Total Paid (EUR),Additional Information
DOAJ,Basin Rice Rice,BRR,Liberia,South America,"249,635.00",27-01-2017,,,,,,,0.00,
DOAJ,Dust Worm Zipper,DWZ,Sri Lanka,North America,"473,153.00",06-04-2017,"59,913.00",11-12-2017,,,,,"59,913.00",
DOAJ,Hen Stem Effect,HSE,Burundi,North America,"346,943.00",27-01-2017,"21,974.00",16-11-2017,,,,,"21,974.00",
DOAJ,Cherries Expert Skin,CES,Svalbard and Jan Mayen,Asia,"260,035.00",08-04-2017,"16,085.00",16-08-2017,"61,958.00",18-08-2018,"25,857.00",29-11-2019,"103,900.00",
DOAJ,Voice Stretch Expert,VSE,"Micronesia, Federated States of",Africa,"360,608.00",20-01-2017,"78,486.00",19-09-2017,"75,979.00",08-03-2018,,,"154,465.00",
DOAJ,Cherries Chin Hen,CCH,Nicaragua,Australia,"15,676.00",23-01-2017,"2,995.00",12-12-2017,"1,570.00",04-07-2018,,,"4,565.00",
DOAJ,Volleyball Mind Chin,VMC,Papua New Guinea,Asia,"446,092.00",01-04-2017,"39,606.00",08-12-2017,"26,746.00",29-08-2018,,,"66,352.00",
DOAJ,Cry Moon Limit,CML,Palau,North America,"299,065.00",20-04-2017,"52,949.00",12-10-2017,,,,,"52,949.00",
DOAJ,Worm Cover Sticks,WCS,Bhutan,South America,"196,004.00",31-05-2017,,,,,,,0.00,
DOAJ,Cry Example Volleyball,CEV,Poland,Asia,"114,830.00",28-06-2017,"5,866.00",30-10-2017,,,,,"5,866.00",
DOAJ,Cloud Stretch Limit,CSL,Singapore,South America,"276,585.00",07-01-2017,"69,535.00",06-07-2017,657.00,13-04-2018,"85,280.00",18-06-2019,"155,472.00",
DOAJ,Breath Lunch Spoon,BLS,Myanmar,South America,"292,590.00",24-01-2017,,,,,,,0.00,
DOAJ,Soda Dust Price,SDP,El Salvador,Africa,"191,762.00",09-04-2017,,,,,,,0.00,
DOAJ,Cherries Brothers Tax,CBT,Algeria,North America,"142,376.00",23-06-2017,"15,562.00",10-10-2017,,,,,"15,562.00",
DOAJ,Beam Cherries Flower,BCF,Anguilla,Asia,"53,865.00",11-05-2017,"12,833.00",24-08-2017,"4,616.00",01-09-2018,"5,058.00",15-04-2019,"22,507.00",
DOAJ,Cloud Spoon Stem,CSS,Senegal,Australia,"289,541.00",04-03-2017,"77,688.00",14-09-2017,"60,734.00",17-12-2018,,,"138,422.00",
DOAJ,Reward Cloud Page,RCP,Northern Mariana Islands,Australia,"484,897.00",12-04-2017,"149,230.00",05-08-2017,"160,966.00",07-08-2018,"112,826.00",31-08-2019,"423,022.00",
DOAJ,Cloud Stem Limit,CSL,"Tanzania, United Republic of",Asia,"250,477.00",01-02-2017,"25,404.00",12-12-2017,,,,,"25,404.00",
DOAJ,Stem Authority Lunch,SAL,Israel,Africa,"453,427.00",30-01-2017,"11,936.00",17-08-2017,"130,607.00",23-01-2018,,,"142,543.00",
DOAJ,Sticks Beam Beam,SBB,British Indian Ocean Territory,South America,"365,247.00",24-02-2017,"78,079.00",21-08-2017,,,,,"78,079.00",
DOAJ,Cry Beam Spoon,CBS,Macao,North America,"173,576.00",05-03-2017,,,,,,,0.00,
DOAJ,Price Locket Page,PLP,France,Australia,"229,187.00",24-06-2017,452.00,28-12-2017,,,,,452.00,
DOAJ,Moon Expert Liquid,MEL,Monaco,Africa,"307,324.00",13-05-2017,"24,676.00",10-12-2017,,,,,"24,676.00",
DOAJ,Competition Spoon Cloud,CSC,Holy See (Vatican City State),Asia,"172,436.00",20-03-2017,,,,,,,0.00,
DOAJ,Cover Cherries Thought,CCT,Antarctica,Africa,"20,090.00",22-04-2017,"2,514.00",28-08-2017,,,,,"2,514.00",
DOAJ,Office Soda Thought,OST,French Polynesia,Europe,"241,529.00",07-03-2017,"13,751.00",17-11-2017,"19,381.00",02-07-2018,"62,973.00",22-11-2019,"96,105.00",
